127.0.0.1 - - [17/Mar/2016:09:02:27 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [17/Mar/2016:09:02:43 +0800] "GET /webtest/ HTTP/1.1" 200 2464
127.0.0.1 - - [17/Mar/2016:09:02:44 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [17/Mar/2016:09:03:02 +0800] "POST /webtest/checklogin.jsp HTTP/1.1" 200 15284
127.0.0.1 - - [17/Mar/2016:09:03:03 +0800] "GET /webtest/test.js HTTP/1.1" 200 1333
127.0.0.1 - - [17/Mar/2016:09:03:03 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:03:48 +0800] "POST /webtest/checklogin.jsp HTTP/1.1" 200 15284
127.0.0.1 - - [17/Mar/2016:09:03:48 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:03:48 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:03:48 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:08:58 +0800] "POST /webtest/checklogin.jsp HTTP/1.1" 200 15272
127.0.0.1 - - [17/Mar/2016:09:08:58 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:08:58 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:08:58 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:13:16 +0800] "POST /webtest/checklogin.jsp HTTP/1.1" 200 15303
127.0.0.1 - - [17/Mar/2016:09:13:16 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:13:16 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:13:16 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:14:10 +0800] "POST /webtest/checklogin.jsp HTTP/1.1" 200 15436
127.0.0.1 - - [17/Mar/2016:09:14:10 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:14:10 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:14:10 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:21:39 +0800] "POST /webtest/checklogin.jsp HTTP/1.1" 200 15436
127.0.0.1 - - [17/Mar/2016:09:21:39 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:21:39 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:21:39 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:26:10 +0800] "POST /webtest/checklogin.jsp HTTP/1.1" 200 15436
127.0.0.1 - - [17/Mar/2016:09:26:10 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:26:10 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
127.0.0.1 - - [17/Mar/2016:09:26:22 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 5265
127.0.0.1 - - [17/Mar/2016:09:26:22 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:26:25 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:27:30 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 4359
127.0.0.1 - - [17/Mar/2016:09:27:30 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:27:30 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:27:31 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:27:33 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:27:34 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:27:34 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:28:01 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:28:02 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 5265
127.0.0.1 - - [17/Mar/2016:09:28:02 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:28:02 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:28:03 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:29:36 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 4523
127.0.0.1 - - [17/Mar/2016:09:29:36 +0800] "GET /webtest/search.js HTTP/1.1" 200 4647
127.0.0.1 - - [17/Mar/2016:09:29:36 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:29:37 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:30:29 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 4315
127.0.0.1 - - [17/Mar/2016:09:30:29 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:30:29 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:09:30:31 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:09:32:26 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 4324
