127.0.0.1 - - [04/Jul/2016:18:40:13 +0800] "GET / HTTP/1.1" 404 951
192.168.1.104 - - [04/Jul/2016:18:43:57 +0800] "GET /webtest HTTP/1.1" 302 -
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /webtest/ HTTP/1.1" 200 21720
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /webtest/js/test.js HTTP/1.1" 200 1943
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /webtest/js/search.js HTTP/1.1" 200 6754
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /webtest/js/jquery-1.6.2.min.js HTTP/1.1" 200 91556
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /webtest/js/control.js HTTP/1.1" 404 993
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /webtest/websocket/chat HTTP/1.1" 101 -
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 200 70243
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.104 - - [04/Jul/2016:18:43:58 +0800] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.104 - - [04/Jul/2016:18:43:59 +0800] "GET /webtest/ajax/author_ajax.jsp?list=b&_=1467629038652 HTTP/1.1" 200 177
